pId,tagType,hashTag
58,IEM,자연
58,IEM,걷기
58,CL,산
59,GRP,부모
59,GRP,아이
59,GRP,가족
59,GRP,친구
59,GRP,커플
59,GRP,혼자
59,SEASON,여름
59,SEASON,가을
59,SEASON,봄
59,SEASON,겨울
59,IEM,공원
59,CL,도시
60,GRP,부모
60,GRP,아이
60,GRP,친구
60,GRP,커플
60,GRP,혼자
60,SEASON,여름
60,SEASON,가을
60,SEASON,봄
60,SEASON,겨울
60,IEM,공원
60,IEM,문화
60,CL,도시
61,GRP,아이
61,GRP,친구
61,GRP,커플
61,GRP,혼자
61,SEASON,여름
61,SEASON,가을
61,SEASON,봄
61,IEM,자연
61,IEM,공원
61,CL,바다
62,GRP,친구
62,GRP,커플
62,GRP,혼자
62,SEASON,여름
62,SEASON,가을
62,SEASON,봄
62,IEM,자연
62,IEM,공원
62,CL,기타
63,GRP,아이
63,GRP,친구
63,GRP,커플
63,GRP,혼자
63,SEASON,여름
63,SEASON,가을
63,SEASON,봄
63,SEASON,겨울
63,IEM,자연
63,IEM,공원
63,CL,산
63,CL,도시
64,GRP,부모
64,GRP,아이
64,GRP,친구
64,GRP,커플
64,GRP,혼자
64,SEASON,여름
64,SEASON,가을
64,SEASON,봄
64,SEASON,겨울
64,IEM,공원
64,IEM,문화
64,CL,도시
65,GRP,친구
65,GRP,커플
65,GRP,혼자
65,SEASON,여름
65,SEASON,가을
65,SEASON,봄
65,IEM,자연
65,IEM,공원
65,IEM,걷기
65,CL,산
66,GRP,아이
66,GRP,가족
66,SEASON,여름
66,SEASON,가을
66,SEASON,봄
66,IEM,체험
66,IEM,공원
66,CL,도시
67,GRP,부모
67,GRP,아이
67,GRP,친구
67,GRP,커플
67,GRP,혼자
67,SEASON,여름
67,SEASON,가을
67,SEASON,봄
67,SEASON,겨울
67,IEM,공원
67,IEM,걷기
67,CL,산
68,GRP,부모
68,GRP,아이
68,GRP,가족
68,GRP,친구
68,GRP,커플
68,GRP,혼자
68,SEASON,여름
68,SEASON,가을
68,SEASON,봄
68,SEASON,겨울
68,IEM,공원
68,CL,도시
69,GRP,친구
69,GRP,커플
69,GRP,혼자
69,SEASON,여름
69,SEASON,가을
69,SEASON,봄
69,IEM,공원
69,IEM,역사
69,CL,도시
70,GRP,부모
70,GRP,아이
70,GRP,친구
70,GRP,커플
70,GRP,혼자
70,SEASON,여름
70,SEASON,가을
70,SEASON,봄
70,SEASON,겨울
70,IEM,공원
70,IEM,걷기
70,CL,산
71,GRP,부모
71,GRP,아이
71,GRP,가족
71,GRP,친구
71,GRP,커플
71,GRP,혼자
71,SEASON,여름
71,SEASON,가을
71,SEASON,봄
71,SEASON,겨울
71,IEM,문화
71,CL,도시
72,GRP,아이
72,GRP,가족
72,GRP,친구
72,GRP,커플
72,GRP,혼자
72,SEASON,여름
72,SEASON,가을
72,SEASON,봄
72,SEASON,겨울
72,IEM,역사
72,IEM,문화
72,CL,도시
73,GRP,부모
73,GRP,아이
73,GRP,친구
73,GRP,커플
73,GRP,혼자
73,SEASON,여름
73,SEASON,가을
73,SEASON,봄
73,SEASON,겨울
73,IEM,역사
73,IEM,문화
73,CL,도시
74,GRP,부모
74,GRP,아이
74,GRP,가족
74,GRP,친구
74,GRP,커플
74,GRP,혼자
74,SEASON,여름
74,SEASON,가을
74,SEASON,봄
74,SEASON,겨울
74,IEM,문화
74,CL,도시
75,GRP,부모
75,GRP,아이
75,GRP,가족
75,GRP,혼자
75,SEASON,여름
75,SEASON,가을
75,SEASON,봄
75,SEASON,겨울
75,IEM,문화
75,CL,바다
76,GRP,아이
76,GRP,가족
76,GRP,친구
76,GRP,커플
76,GRP,혼자
76,SEASON,여름
76,SEASON,가을
76,SEASON,봄
76,SEASON,겨울
76,IEM,문화
76,CL,도시
77,GRP,아이
77,GRP,가족
77,GRP,친구
77,GRP,커플
77,GRP,혼자
77,SEASON,여름
77,SEASON,가을
77,SEASON,봄
77,SEASON,겨울
77,IEM,문화
77,CL,도시
78,GRP,아이
78,GRP,가족
78,GRP,친구
78,GRP,커플
78,SEASON,여름
78,SEASON,가을
78,SEASON,봄
78,SEASON,겨울
78,IEM,체험
78,IEM,공원
78,CL,도시
79,GRP,부모
79,GRP,아이
79,GRP,친구
79,GRP,커플
79,GRP,혼자
79,SEASON,여름
79,SEASON,가을
79,SEASON,봄
79,SEASON,겨울
79,IEM,역사
79,IEM,문화
79,CL,도시
80,GRP,친구
80,GRP,커플
80,GRP,혼자
80,SEASON,여름
80,SEASON,가을
80,SEASON,봄
80,SEASON,겨울
80,IEM,자연
80,CL,산
81,GRP,부모
81,GRP,아이
81,GRP,친구
81,GRP,커플
81,GRP,혼자
81,SEASON,여름
81,SEASON,가을
81,SEASON,봄
81,SEASON,겨울
81,IEM,역사
81,IEM,문화
81,CL,도시
82,GRP,가족
82,GRP,친구
82,GRP,커플
82,GRP,혼자
82,SEASON,여름
82,SEASON,가을
82,SEASON,봄
82,SEASON,겨울
82,IEM,문화
82,CL,도시
83,GRP,아이
83,GRP,가족
83,GRP,친구
83,GRP,커플
83,GRP,혼자
83,SEASON,여름
83,SEASON,가을
83,SEASON,봄
83,SEASON,겨울
83,IEM,역사
83,IEM,문화
83,CL,도시
84,GRP,부모
84,GRP,아이
84,GRP,가족
84,GRP,친구
84,GRP,커플
84,GRP,혼자
84,SEASON,여름
84,SEASON,가을
84,SEASON,봄
84,SEASON,겨울
84,IEM,문화
84,CL,산
85,GRP,부모
85,GRP,아이
85,GRP,가족
85,GRP,친구
85,GRP,커플
85,GRP,혼자
85,SEASON,여름
85,SEASON,가을
85,SEASON,봄
85,SEASON,겨울
85,IEM,공원
85,CL,도시
86,GRP,가족
86,GRP,친구
86,GRP,커플
86,GRP,혼자
86,SEASON,여름
86,SEASON,가을
86,SEASON,봄
86,SEASON,겨울
86,IEM,역사
86,IEM,문화
86,CL,도시
87,GRP,가족
87,GRP,친구
87,GRP,커플
87,GRP,혼자
87,SEASON,여름
87,SEASON,가을
87,SEASON,봄
87,SEASON,겨울
87,IEM,역사
87,IEM,문화
87,CL,도시
88,GRP,가족
88,GRP,친구
88,GRP,커플
88,GRP,혼자
88,SEASON,여름
88,SEASON,가을
88,SEASON,봄
88,SEASON,겨울
88,IEM,역사
88,IEM,문화
88,CL,도시
89,GRP,친구
89,GRP,커플
89,GRP,혼자
89,SEASON,여름
89,SEASON,가을
89,SEASON,봄
89,SEASON,겨울
89,IEM,자연
89,IEM,역사
89,IEM,걷기
89,CL,산
89,CL,바다
90,GRP,아이
90,GRP,친구
90,GRP,커플
90,GRP,혼자
90,SEASON,여름
90,SEASON,가을
90,SEASON,봄
90,SEASON,겨울
90,IEM,자연
90,IEM,걷기
90,CL,산
90,CL,바다
91,GRP,아이
91,GRP,가족
91,GRP,친구
91,GRP,커플
91,GRP,혼자
91,SEASON,여름
91,SEASON,가을
91,SEASON,봄
91,SEASON,겨울
91,IEM,역사
91,IEM,문화
91,CL,도시
92,GRP,아이
92,GRP,가족
92,GRP,친구
92,GRP,커플
92,GRP,혼자
92,SEASON,여름
92,SEASON,가을
92,SEASON,봄
92,SEASON,겨울
92,IEM,역사
92,IEM,문화
92,CL,도시
93,GRP,부모
93,GRP,아이
93,GRP,가족
93,SEASON,여름
93,SEASON,가을
93,SEASON,봄
93,SEASON,겨울
93,IEM,체험
93,CL,기타
94,GRP,부모
94,GRP,아이
94,GRP,친구
94,GRP,커플
94,GRP,혼자
94,SEASON,여름
94,SEASON,가을
94,SEASON,봄
94,SEASON,겨울
94,IEM,역사
94,IEM,문화
94,CL,도시
95,GRP,부모
95,GRP,아이
95,GRP,가족
95,GRP,친구
95,GRP,커플
95,GRP,혼자
95,SEASON,여름
95,SEASON,가을
95,SEASON,봄
95,SEASON,겨울
95,IEM,문화
95,CL,기타
96,GRP,부모
96,GRP,아이
96,GRP,가족
96,GRP,친구
96,GRP,커플
96,GRP,혼자
96,SEASON,여름
96,SEASON,가을
96,SEASON,봄
96,SEASON,겨울
96,IEM,문화
96,CL,도시
97,GRP,부모
97,GRP,아이
97,GRP,친구
97,GRP,커플
97,GRP,혼자
97,SEASON,여름
97,SEASON,가을
97,SEASON,봄
97,SEASON,겨울
97,IEM,자연
97,IEM,공원
97,CL,산
97,CL,도시
98,GRP,아이
98,GRP,친구
98,GRP,커플
98,GRP,혼자
98,SEASON,여름
98,SEASON,가을
98,SEASON,봄
98,IEM,자연
98,IEM,걷기
98,CL,산
99,GRP,아이
99,GRP,친구
99,GRP,커플
99,GRP,혼자
99,SEASON,여름
99,SEASON,가을
99,SEASON,봄
99,SEASON,겨울
99,IEM,공원
99,IEM,역사
99,IEM,문화
99,CL,도시
100,GRP,아이
100,GRP,가족
100,GRP,친구
100,GRP,커플
100,GRP,혼자
100,SEASON,여름
100,SEASON,가을
100,SEASON,봄
100,SEASON,겨울
100,IEM,역사
100,IEM,문화
100,CL,도시
101,GRP,부모
101,GRP,아이
101,GRP,가족
101,GRP,친구
101,GRP,커플
101,GRP,혼자
101,SEASON,여름
101,SEASON,가을
101,SEASON,봄
101,SEASON,겨울
101,IEM,문화
101,CL,도시
102,GRP,부모
102,GRP,아이
102,GRP,가족
102,GRP,친구
102,GRP,커플
102,GRP,혼자
102,SEASON,여름
102,SEASON,가을
102,SEASON,봄
102,SEASON,겨울
102,IEM,문화
102,CL,도시
103,GRP,부모
103,GRP,아이
103,GRP,가족
103,GRP,친구
103,GRP,커플
103,GRP,혼자
103,SEASON,여름
103,SEASON,가을
103,SEASON,봄
103,SEASON,겨울
103,IEM,문화
103,CL,도시
104,GRP,부모
104,GRP,아이
104,GRP,친구
104,GRP,커플
104,GRP,혼자
104,SEASON,여름
104,SEASON,가을
104,SEASON,봄
104,SEASON,겨울
104,IEM,역사
104,IEM,문화
104,CL,산
105,GRP,친구
105,GRP,혼자
105,SEASON,여름
105,SEASON,가을
105,SEASON,봄
105,IEM,자연
105,IEM,공원
105,IEM,걷기
105,CL,산
106,GRP,아이
106,GRP,친구
106,GRP,커플
106,GRP,혼자
106,SEASON,여름
106,SEASON,가을
106,SEASON,봄
106,SEASON,겨울
106,IEM,자연
106,IEM,공원
106,CL,산
106,CL,도시
107,GRP,부모
107,GRP,아이
107,GRP,친구
107,GRP,커플
107,GRP,혼자
107,SEASON,여름
107,SEASON,가을
107,SEASON,봄
107,SEASON,겨울
107,IEM,자연
107,IEM,공원
107,CL,산
107,CL,도시
108,GRP,아이
108,GRP,친구
108,GRP,커플
108,GRP,혼자
108,SEASON,여름
108,SEASON,가을
108,SEASON,봄
108,SEASON,겨울
108,IEM,공원
108,IEM,역사
108,IEM,문화
108,CL,도시
109,GRP,가족
109,GRP,친구
109,GRP,커플
109,GRP,혼자
109,SEASON,여름
109,SEASON,가을
109,SEASON,봄
109,SEASON,겨울
109,IEM,역사
109,IEM,문화
109,CL,도시
110,GRP,부모
110,GRP,아이
110,GRP,가족
110,GRP,친구
110,GRP,커플
110,GRP,혼자
110,SEASON,여름
110,SEASON,가을
110,SEASON,봄
110,SEASON,겨울
110,IEM,문화
110,CL,산
111,GRP,부모
111,GRP,아이
111,GRP,가족
111,GRP,친구
111,GRP,커플
111,SEASON,여름
111,SEASON,가을
111,SEASON,봄
111,SEASON,겨울
111,IEM,문화
111,CL,바다
112,GRP,가족
112,GRP,친구
112,GRP,커플
112,GRP,혼자
112,SEASON,여름
112,SEASON,가을
112,SEASON,봄
112,SEASON,겨울
112,IEM,문화
112,CL,산
113,GRP,부모
113,GRP,아이
113,GRP,친구
113,GRP,커플
113,GRP,혼자
113,SEASON,여름
113,SEASON,가을
113,SEASON,봄
113,SEASON,겨울
113,IEM,역사
113,IEM,문화
113,CL,산
114,GRP,부모
114,GRP,아이
114,GRP,가족
114,GRP,친구
114,GRP,혼자
114,SEASON,여름
114,SEASON,가을
114,SEASON,봄
114,SEASON,겨울
114,IEM,문화
114,CL,도시
115,GRP,부모
115,GRP,아이
115,GRP,가족
115,GRP,친구
115,GRP,커플
115,SEASON,여름
115,SEASON,가을
115,SEASON,봄
115,IEM,문화
115,CL,도시
116,GRP,부모
116,GRP,친구
116,GRP,커플
116,GRP,혼자
116,SEASON,여름
116,SEASON,가을
116,SEASON,봄
116,SEASON,겨울
116,IEM,자연
116,IEM,역사
116,IEM,문화
116,CL,산
117,GRP,부모
117,GRP,아이
117,GRP,친구
117,GRP,커플
117,GRP,혼자
117,SEASON,여름
117,SEASON,가을
117,SEASON,봄
117,SEASON,겨울
117,IEM,자연
117,IEM,걷기
117,CL,산
118,GRP,가족
118,GRP,친구
118,GRP,커플
118,SEASON,여름
118,SEASON,가을
118,SEASON,봄
118,SEASON,겨울
118,IEM,자연
118,IEM,공원
118,IEM,걷기
118,CL,산
119,GRP,부모
119,GRP,아이
119,GRP,가족
119,GRP,친구
119,GRP,커플
119,GRP,혼자
119,SEASON,여름
119,SEASON,가을
119,SEASON,봄
119,SEASON,겨울
119,IEM,자연
119,IEM,문화
119,IEM,걷기
119,CL,산
120,GRP,부모
120,GRP,아이
120,GRP,가족
120,GRP,친구
120,GRP,커플
120,GRP,혼자
120,SEASON,여름
120,SEASON,가을
120,SEASON,봄
120,SEASON,겨울
120,IEM,걷기
120,CL,바다
121,GRP,아이
121,GRP,가족
121,GRP,친구
121,GRP,커플
121,GRP,혼자
121,SEASON,여름
121,SEASON,가을
121,SEASON,봄
121,IEM,자연
121,IEM,걷기
121,CL,산
122,GRP,부모
122,GRP,아이
122,GRP,가족
122,GRP,커플
122,SEASON,여름
122,SEASON,가을
122,SEASON,봄
122,SEASON,겨울
122,IEM,자연
122,IEM,걷기
122,CL,산
123,GRP,아이
123,GRP,친구
123,GRP,커플
123,GRP,혼자
123,SEASON,여름
123,SEASON,가을
123,SEASON,봄
123,SEASON,겨울
123,IEM,문화
123,CL,도시
124,GRP,부모
124,GRP,아이
124,GRP,가족
124,GRP,친구
124,GRP,커플
124,SEASON,여름
124,SEASON,가을
124,SEASON,봄
124,SEASON,겨울
124,IEM,자연
124,CL,산
125,GRP,부모
125,GRP,아이
125,GRP,친구
125,GRP,커플
125,GRP,혼자
125,SEASON,여름
125,SEASON,가을
125,SEASON,봄
125,IEM,자연
125,CL,산
126,GRP,친구
126,GRP,혼자
126,SEASON,여름
126,SEASON,가을
126,SEASON,봄
126,IEM,자연
126,IEM,역사
126,IEM,문화
126,CL,바다
127,GRP,아이
127,GRP,친구
127,GRP,커플
127,GRP,혼자
127,SEASON,여름
127,SEASON,가을
127,SEASON,봄
127,SEASON,겨울
127,IEM,쇼핑
127,CL,도시
128,GRP,부모
128,GRP,아이
128,GRP,가족
128,GRP,친구
128,GRP,커플
128,GRP,혼자
128,SEASON,여름
128,SEASON,가을
128,SEASON,봄
128,SEASON,겨울
128,IEM,쇼핑
128,CL,도시
129,GRP,부모
129,GRP,아이
129,GRP,가족
129,GRP,친구
129,GRP,커플
129,GRP,혼자
129,SEASON,여름
129,SEASON,가을
129,SEASON,봄
129,SEASON,겨울
129,IEM,쇼핑
129,CL,도시
130,GRP,부모
130,GRP,아이
130,GRP,가족
130,GRP,친구
130,GRP,커플
130,GRP,혼자
130,SEASON,여름
130,SEASON,가을
130,SEASON,봄
130,SEASON,겨울
130,IEM,쇼핑
130,CL,도시
131,GRP,부모
131,GRP,아이
131,GRP,가족
131,GRP,친구
131,GRP,커플
131,GRP,혼자
131,SEASON,여름
131,SEASON,가을
131,SEASON,봄
131,SEASON,겨울
131,IEM,쇼핑
131,CL,기타
132,GRP,부모
132,GRP,아이
132,GRP,가족
132,GRP,친구
132,GRP,커플
132,SEASON,여름
132,SEASON,가을
132,SEASON,봄
132,SEASON,겨울
132,IEM,쇼핑
132,CL,도시
133,GRP,부모
133,GRP,아이
133,GRP,가족
133,GRP,친구
133,GRP,커플
133,GRP,혼자
133,SEASON,여름
133,SEASON,가을
133,SEASON,봄
133,SEASON,겨울
133,IEM,쇼핑
133,CL,도시
134,GRP,부모
134,GRP,아이
134,GRP,가족
134,GRP,친구
134,GRP,커플
134,SEASON,여름
134,SEASON,가을
134,SEASON,봄
134,SEASON,겨울
134,IEM,쇼핑
134,CL,도시
135,GRP,부모
135,GRP,아이
135,GRP,가족
135,GRP,친구
135,GRP,커플
135,GRP,혼자
135,SEASON,여름
135,SEASON,가을
135,SEASON,봄
135,SEASON,겨울
135,IEM,쇼핑
135,CL,도시
136,GRP,부모
136,GRP,아이
136,GRP,가족
136,GRP,친구
136,GRP,커플
136,SEASON,여름
136,SEASON,가을
136,SEASON,봄
136,SEASON,겨울
136,IEM,쇼핑
136,CL,도시
137,GRP,부모
137,GRP,아이
137,GRP,가족
137,GRP,친구
137,GRP,커플
137,GRP,혼자
137,SEASON,여름
137,SEASON,가을
137,SEASON,봄
137,SEASON,겨울
137,IEM,쇼핑
137,CL,도시
138,GRP,부모
138,GRP,아이
138,GRP,가족
138,GRP,친구
138,GRP,커플
138,GRP,혼자
138,SEASON,여름
138,SEASON,가을
138,SEASON,봄
138,SEASON,겨울
138,IEM,쇼핑
138,CL,도시
139,GRP,부모
139,GRP,아이
139,GRP,가족
139,GRP,친구
139,GRP,커플
